iter	Passed	Remaining
876	64977	9113
877	65057	9039
878	65116	8963
879	65186	8889
880	65250	8813
881	65326	8739
882	65400	8665
883	65474	8591
884	65543	8516
885	65600	8440
886	65666	8365
887	65736	8291
888	65798	8215
889	65859	8139
890	65921	8064
891	65981	7988
892	66040	7913
893	66110	7838
894	66165	7762
895	66230	7687
896	66295	7612
897	66371	7538
898	66460	7466
899	66603	7400
900	66688	7327
901	66762	7253
902	66832	7179
903	66901	7104
904	66970	7030
905	67034	6955
906	67105	6880
907	67164	6805
908	67235	6730
909	67302	6656
910	67357	6580
911	67417	6505
912	67556	6437
913	67634	6363
914	67736	6292
915	67810	6218
916	67875	6143
917	67953	6069
918	68017	5994
919	68089	5920
920	68179	5848
921	68255	5774
922	68323	5699
923	68389	5625
924	68485	5552
925	68554	5478
926	68641	5405
927	68784	5336
928	68873	5263
929	68968	5191
930	69059	5118
931	69145	5044
932	69267	4974
933	69359	4901
934	69445	4827
935	69514	4753
936	69588	4678
937	69682	4605
938	69763	4532
939	69845	4458
940	69926	4384
941	70002	4310
942	70073	4235
943	70151	4161
944	70220	4086
945	70298	4012
946	70371	3938
947	70450	3864
948	70523	3789
949	70589	3715
950	70654	3640
951	70736	3566
952	70832	3493
953	70912	3419
954	70978	3344
955	71048	3270
956	71121	3195
957	71194	3121
958	71261	3046
959	71330	2972
960	71417	2898
961	71496	2824
962	71574	2750
963	71643	2675
964	71715	2601
965	71784	2526
966	71859	2452
967	71931	2377
968	72028	2304
969	72097	2229
970	72164	2155
971	72230	2080
972	72294	2006
973	72375	1931
974	72441	1857
975	72509	1783
976	72587	1708
977	72659	1634
978	72729	1560
979	72796	1485
980	72866	1411
981	72931	1336
982	73007	1262
983	73085	1188
984	73168	1114
985	73236	1039
986	73314	965
987	73403	891
988	73471	817
989	73539	742
990	73606	668
991	73691	594
992	73759	519
993	73838	445
994	73908	371
995	73975	297
996	74041	222
997	74117	148
998	74181	74
999	74256	0
